1;4
2;1
3;4
4;3
5;3
6;1
7;3
8;2
9;4
10;1
11;2
12;3
13;4
14;2
15;3
16;3
17;1
18;3
19;4
20;2
21;3
22;1
23;1
24;4
25;4
26;3
27;3
28;2
29;1
30;3
31;1
32;3
33;4
34;3
35;3
36;1
37;1
38;4
39;2
40;4
41;2
42;1
43;4
44;3
45;2
46;3
47;2
48;1
49;2
50;4
51;2
52;4
53;2
54;2
55;2
56;4
57;3
58;4
59;4
60;1
61;3
62;3
63;4
64;1
65;1
66;2
67;2
68;3
69;3
70;2
71;1
72;4
73;2
74;3
75;2
76;1
77;1
78;3
79;2
80;4
81;2
82;1
83;2
84;2
85;3
86;4
87;3
88;1
89;2
90;3
91;4
92;2
93;2
94;4
95;1
96;3
97;1
98;3
99;4
100;4
101;3
102;1
103;2
104;1
105;3
106;4
107;4
108;1
109;1
110;4
111;2
112;1
113;1
114;2
115;4
116;4
117;4
118;2
119;2
120;1
121;1
122;3
123;2
124;2
125;1
126;3
127;1
128;3
129;1
130;1
131;2
132;1
133;1
134;1
135;1
136;3
137;4
138;1
139;1
140;1
141;1
142;1
143;4
144;2
145;4
146;3
147;3
148;3
149;4
150;4
151;1
152;1
153;3
154;1
155;3
156;2
157;4
158;3
159;1
160;1
161;2
162;3
163;4
164;3
165;3
166;3
167;2
168;1
169;3
170;3
171;2
172;4
173;1
174;2
175;3
176;3
177;1
178;2
179;1
180;1
181;4
182;1
183;1
184;4
185;3
186;3
187;4
188;4
189;2
190;1
191;4
192;2
193;4
194;2
195;2
196;4
197;3
198;4
199;4
200;4
201;4
202;3
203;1
204;4
205;1
206;2
207;2
208;4
209;4
210;2
211;3
212;2
213;3
214;1
215;3
216;3
217;4
218;2
219;3
220;2
221;2
222;1
223;3
224;1
225;1
226;4
