1;22
1;55
1;74
1;210
2;47
2;146
2;176
3;87
3;116
3;162
4;49
5;19
5;198
6;3
6;153
6;201
7;11
7;16
7;92
7;179
7;194
7;197
8;9
8;213
9;7
9;43
9;51
9;83
9;106
9;116
10;65
10;141
11;212
12;147
12;181
12;221
13;22
13;219
14;55
14;95
14;116
14;133
14;207
15;29
15;89
15;106
15;226
16;88
16;140
16;197
17;55
17;64
17;75
17;108
17;141
17;191
18;6
18;87
19;112
19;117
20;86
20;89
20;114
20;216
21;17
21;131
21;151
21;159
21;198
22;111
22;119
22;215
23;1
23;85
23;95
24;36
24;73
24;115
24;195
24;222
25;115
25;173
26;31
26;74
26;123
26;170
27;67
27;170
28;6
28;61
28;64
28;73
28;140
28;176
29;42
29;193
30;9
30;181
30;208
31;79
31;100
31;170
32;26
32;107
32;145
33;160
34;24
34;76
34;108
34;162
36;116
36;152
36;225
37;56
37;119
38;145
38;187
38;206
38;211
39;105
41;118
41;121
41;149
41;184
41;214
42;5
42;9
42;82
42;96
42;200
42;207
43;19
43;154
43;226
44;22
44;34
44;57
45;43
45;100
45;160
45;164
46;31
46;106
46;141
46;182
46;199
47;22
47;138
47;149
47;178
47;195
47;204
47;214
48;127
49;25
49;202
50;77
50;151
50;216
51;42
51;150
52;8
52;102
52;130
52;148
52;162
52;196
52;212
53;168
53;170
54;94
54;132
54;140
55;64
55;93
55;216
56;55
56;65
56;79
57;10
57;14
57;38
57;159
57;164
58;3
58;83
58;216
59;53
59;66
59;148
59;155
60;93
60;201
61;26
61;170
61;183
62;9
62;61
62;118
63;49
63;172
63;192
64;87
64;111
64;118
65;3
65;39
65;161
66;126
66;192
67;33
67;55
67;91
67;192
67;216
68;29
68;48
68;67
68;82
69;55
69;60
69;77
69;78
70;26
70;62
70;152
70;223
71;145
71;216
71;222
72;132
73;8
73;75
73;81
73;197
73;219
74;38
74;58
74;125
74;136
74;144
74;179
74;197
75;74
75;120
75;184
75;218
76;13
76;218
77;1
77;27
77;138
78;38
78;66
78;152
78;216
79;175
79;178
80;48
80;110
80;163
81;8
81;72
81;97
81;141
81;155
81;172
82;79
82;115
82;123
82;225
83;21
83;130
83;161
83;194
84;1
84;7
84;24
84;86
84;175
84;180
84;190
85;5
85;178
85;205
86;1
86;17
86;63
86;92
86;93
86;125
86;145
86;196
86;217
87;8
87;28
87;97
87;105
87;115
87;130
87;202
88;11
88;87
89;190
90;137
90;155
91;75
91;86
92;98
93;14
93;89
93;170
93;192
93;208
93;226
94;66
94;134
95;50
95;156
96;5
97;11
97;133
98;9
98;110
98;172
98;184
98;224
99;49
99;168
100;88
100;143
102;171
103;114
103;144
104;45
104;52
104;83
104;92
104;136
105;16
105;178
106;26
106;131
109;21
109;92
109;161
109;174
110;12
110;56
110;152
111;34
111;73
111;116
111;142
111;193
114;6
114;110
114;153
114;186
115;21
115;103
116;64
116;87
116;216
117;15
117;29
117;57
118;89
118;206
118;218
118;224
119;60
119;111
119;189
120;58
120;65
120;108
120;140
120;200
120;201
121;20
121;34
121;73
121;140
121;197
122;213
123;62
123;106
123;110
123;216
124;5
124;217
125;53
125;128
125;180
126;71
127;27
127;81
127;175
127;208
128;178
129;35
129;56
129;102
129;119
129;131
130;4
130;35
130;64
131;11
131;28
131;106
131;114
131;169
132;25
132;40
132;78
132;224
133;137
134;16
134;97
134;168
134;178
134;183
134;205
134;211
135;83
135;144
135;148
135;200
135;216
136;128
137;148
137;151
137;216
138;23
138;84
138;108
138;190
139;8
139;89
139;114
139;122
140;36
140;53
140;122
140;214
140;222
141;32
141;39
142;107
142;154
142;157
142;164
143;55
143;128
144;62
144;90
144;105
144;214
145;34
145;111
145;179
145;199
146;9
146;21
146;46
146;55
146;132
147;38
147;155
147;191
148;173
148;195
149;67
149;89
150;28
150;157
151;59
152;86
152;115
153;185
154;191
155;117
155;184
156;32
156;166
156;169
157;48
157;80
157;119
157;148
157;160
158;20
158;63
158;167
158;194
159;132
159;144
159;155
160;72
160;79
161;42
161;77
162;118
162;144
162;163
162;173
163;205
164;112
165;51
165;81
165;101
165;215
167;15
167;122
167;196
168;41
168;135
168;216
169;61
169;105
169;155
169;214
170;27
170;61
170;101
170;102
170;223
171;119
171;185
171;199
172;139
172;162
172;166
173;30
173;59
173;190
173;197
174;200
175;67
175;101
175;182
176;87
176;117
176;123
177;53
177;89
178;16
178;87
179;72
179;79
180;11
180;17
180;89
180;128
180;157
181;61
181;80
181;166
182;15
182;136
183;36
183;184
184;116
184;152
185;108
185;112
185;137
185;155
185;216
185;219
186;116
186;178
186;198
187;73
187;121
187;181
187;210
188;81
188;148
190;20
190;90
190;108
191;1
191;38
191;67
191;118
191;122
192;81
193;172
194;10
194;53
194;91
194;98
194;175
195;1
195;77
195;177
196;178
197;69
197;77
198;71
198;120
198;162
199;99
199;115
199;188
200;43
200;64
200;93
200;135
201;54
201;128
202;7
202;40
202;56
202;80
202;147
202;168
202;201
203;7
203;12
203;41
203;175
204;36
204;105
204;137
205;15
205;17
205;81
205;128
205;173
205;193
206;12
206;26
206;137
206;204
207;46
208;8
208;31
209;55
209;58
209;125
209;131
209;136
209;172
209;216
210;93
211;8
211;25
211;39
211;45
211;78
212;129
212;218
213;27
214;7
214;25
214;89
215;118
216;3
216;58
216;152
216;208
217;168
218;41
218;112
218;166
218;186
219;94
219;158
220;182
220;188
220;194
220;226
221;104
221;219
222;32
222;56
222;197
223;146
223;217
223;224
224;154
224;222
225;73
225;163
226;113
226;139
226;142
226;180
226;209
